date,titleSlug,questionFrontendId,title,difficulty,acRate
2021-01-19,longest-palindromic-substring,5,Longest Palindromic Substring,Medium,34.1
2021-01-20,valid-parentheses,20,Valid Parentheses,Easy,40.7
2021-01-21,find-the-most-competitive-subsequence,1673,Find the Most Competitive Subsequence,Medium,50.5
2021-01-22,determine-if-two-strings-are-close,1657,Determine if Two Strings Are Close,Medium,54.7
2021-01-23,sort-the-matrix-diagonally,1329,Sort the Matrix Diagonally,Medium,82.9
2021-01-24,merge-k-sorted-lists,23,Merge k Sorted Lists,Hard,53.4
2021-01-25,check-if-all-1s-are-at-least-length-k-places-away,1437,Check If All 1's Are at Least Length K Places Away,Easy,58.0
2021-01-26,path-with-minimum-effort,1631,Path With Minimum Effort,Medium,59.8
2021-01-27,concatenation-of-consecutive-binary-numbers,1680,Concatenation of Consecutive Binary Numbers,Medium,57.1
2021-01-28,smallest-string-with-a-given-numeric-value,1663,Smallest String With A Given Numeric Value,Medium,66.8
2021-01-29,vertical-order-traversal-of-a-binary-tree,987,Vertical Order Traversal of a Binary Tree,Hard,48.1
2021-01-30,minimize-deviation-in-array,1675,Minimize Deviation in Array,Hard,54.0
2021-01-31,next-permutation,31,Next Permutation,Medium,40.4
2021-02-01,number-of-1-bits,191,Number of 1 Bits,Easy,71.7
2021-02-02,trim-a-binary-search-tree,669,Trim a Binary Search Tree,Medium,66.3
2021-02-03,linked-list-cycle,141,Linked List Cycle,Easy,50.7
2021-02-04,longest-harmonious-subsequence,594,Longest Harmonious Subsequence,Easy,54.9
2021-02-05,simplify-path,71,Simplify Path,Medium,43.2
2021-02-06,binary-tree-right-side-view,199,Binary Tree Right Side View,Medium,63.4
2021-02-07,shortest-distance-to-a-character,821,Shortest Distance to a Character,Easy,71.7
2021-02-08,peeking-iterator,284,Peeking Iterator,Medium,59.7
2021-02-09,convert-bst-to-greater-tree,538,Convert BST to Greater Tree,Medium,69.5
2021-02-10,copy-list-with-random-pointer,138,Copy List with Random Pointer,Medium,56.8
2021-02-11,valid-anagram,242,Valid Anagram,Easy,64.9
2021-02-12,number-of-steps-to-reduce-a-number-to-zero,1342,Number of Steps to Reduce a Number to Zero,Easy,85.2
2021-02-13,shortest-path-in-binary-matrix,1091,Shortest Path in Binary Matrix,Medium,47.7
2021-02-14,is-graph-bipartite,785,Is Graph Bipartite?,Medium,56.0
